"Player","Season","DepthTeam","DepthPos","Madden.Rating","ReservePos","PosFFA","fantPts_est","fantPts_IDPG","fantPts_FFTODAY","fantPts_FFA","fantPts_FDATA","fantPts_agg","fantPts"
"Thomas Decoud",2012,"Atl","FS",82,NA,NA,74.8420052394324,NA,93,NA,NA,93,103.5
"Clay Matthews",2010,"Gnb","LOLB",86,NA,NA,78.9053215260817,NA,93,NA,NA,93,113.5
"Trent Cole",2010,"Phi","RDE",95,NA,NA,77.9782679746004,NA,93,NA,NA,93,93.5
"Leroy Hill",2008,"Sea","SLB",89,NA,NA,NA,NA,93,NA,NA,93,84.5
"Jacob Tamme",2012,"Den","TE",79,NA,"TE",57.7957359247297,NA,126.6,128.1675,NA,92.9816179623648,93.5
"Dan Trevathan",2017,"Chi","RILB",84,NA,"LB",86.6005304981297,98.725,75.75,88.9,NA,92.98125,91.75
"Alterraun Verner",2015,"Tam","LCB",87,NA,"DB",83.0740371051327,93.8,90.5,93.585,NA,92.975,60.5
"Matthew Flynn",2012,"Sea","QB",79,NA,"QB",101.175627444163,NA,21.9,84.6555,NA,92.9155637220815,2.22
"Corey Graham",2015,"Buf","FS",84,NA,"DB",75.8817556189259,96.5,82,99.5083333333334,NA,92.875,137.5
"Jelani Jenkins",2016,"Mia","WLB",78,NA,"LB",70.8125376246334,97.20625,79.75,95.175,NA,92.8421875,24.5
"Rodney Mcleod",2015,"Lar","FS",79,NA,"DB",69.4572755889839,92.94,92.5,79.1575,NA,92.83,89.75
"Ryan Torain",2011,"Was","RB",79,NA,"RB",76.737259590435,NA,108.9,108.9,NA,92.8186297952175,31.3
"Clive Walford",2016,"Oak","TE",77,NA,"TE",71.5088997219845,NA,90.6,99.6936111111111,107.2,92.8008369443652,70.4
"Arrelious Benn",2011,"Tam","RWR",76,NA,"WR",94.5269982390581,NA,89.3,89.3,NA,92.7846654927054,76.4
"Austin Seferian Jenkins",2018,"Jax","TE",81,NA,"TE",85.9234629154263,NA,78.1,93.9371517635076,98.4,92.7535382263113,NA
"Shawn Williams",2016,"Cin","SS",75,NA,"DB",53.4136051184016,92.75,NA,92.575,NA,92.75,88.25
"Cameron Wake",2013,"Mia","LDE",97,NA,NA,73.0973209787014,NA,92.75,NA,NA,92.75,63.25
"Mychal Kendricks",2013,"Phi","LILB",72,NA,NA,85.7414881479217,NA,92.75,NA,NA,92.75,136.75
"Elvis Dumervil",2011,"Den","RDE",91,NA,NA,72.9326319416127,NA,92.75,NA,NA,92.75,64.75
"Charles Godfrey",2010,"Car","SS",75,NA,NA,66.5884958437126,NA,92.75,NA,NA,92.75,105.75
"Robert Mathis",2009,"Ind","LDE",92,NA,NA,94.5881183904179,NA,92.75,NA,NA,92.75,71.25
"Donte Whitner",2008,"Buf","SS",92,NA,NA,NA,NA,92.75,NA,NA,92.75,62.5
"Gerris Wilkinson",2008,"Nyg","WLB",77,NA,NA,NA,NA,92.75,NA,NA,92.75,8
"Fred Taylor",2009,"Nwe","RB",82,NA,"RB",65.2173307055004,NA,118.2,120.2,NA,92.7086653527502,51.6
"Vance Mcdonald",2018,"Pit","TE",79,NA,"TE",75.6721758342049,NA,105.1,104.649607142857,97.7,92.6739276590207,NA
"Nate Washington",2011,"Ten","LWR",78,NA,"WR",94.0099586613764,NA,90,90,NA,92.6733057742509,187.8
"Andre Roberts",2013,"Ari","RWR",78,NA,"WR",84.7465256166672,NA,96.9,108.369333333333,NA,92.6207948555559,80.6
"Aaron Curry",2011,"Sea","WLB",82,NA,NA,75.9591952479929,NA,92.5,NA,NA,92.5,69.5
"Chris Hope",2011,"Ten","SS",87,NA,NA,83.7167034238541,NA,92.5,NA,NA,92.5,32.25
"Robert Mathis",2011,"Ind","LDE",93,NA,NA,69.5214853712359,NA,92.5,NA,NA,92.5,79.25
"Antrel Rolle",2010,"Nyg","FS",83,NA,NA,77.9979899131847,NA,92.5,NA,NA,92.5,100
"Patrick Kerney",2008,"Sea","LDE",95,NA,NA,NA,NA,92.5,NA,NA,92.5,41
"Lance Kendricks",2011,"Lar","TE",71,NA,"TE",107.543059049759,NA,75.4,77.4,NA,92.4715295248796,46.4
"Louis Murphy",2010,"Oak","RWR",75,NA,"WR",78.6885377946263,NA,120,120,NA,92.4590251964175,95.7
"Donta Hightower",2015,"Nwe","WLB",93,NA,"LB",87.6663650727718,99.1,72.5,102.863333333333,NA,92.45,69.75
"Justin Simmons",2018,"Den","FS",83,NA,"DB",72.2806507712774,92.4,NA,NA,NA,92.4,NA
"Zane Gonzalez",2017,"Cle","PK",73,NA,"K",84.8662221240892,NA,NA,99.8426142636344,NA,92.3544181938618,78
"Joey Bosa",2017,"Sdg","LDE",88,NA,"DL",78.7986332966676,92.8625,90.75,108.125,NA,92.334375,111.75
"Kurt Coleman",2018,"Nor","SS",74,NA,"DB",69.0138606030489,95.6,82.5,NA,NA,92.325,NA
"Todd Davis",2016,"Den","ILB",64,NA,"LB",61.8502344373065,100.4,68,78.1999999999999,NA,92.3,89.25
"Reggie Ragland",2018,"Kan","RILB",79,NA,"LB",71.2625064697353,98.89,72.5,NA,NA,92.2925,NA
"Mason Foster",2017,"Was","RILB",83,NA,"LB",94.0831775460909,100.02,69,83.7666666666666,NA,92.265,35
"Alterraun Verner",2012,"Ten","RCB",81,NA,NA,82.2008878399437,NA,92.25,NA,NA,92.25,96.5
"Aaron Curry",2010,"Sea","WLB",83,NA,NA,77.7903122293637,NA,92.25,NA,NA,92.25,85.75
"Dashon Goldson",2010,"Sfo","FS",80,NA,NA,75.5105067979217,NA,92.25,NA,NA,92.25,86.75
"Deangelo Hall",2010,"Was","RCB",85,NA,NA,80.3271945458066,NA,92.25,NA,NA,92.25,132.5
"Michael Griffin",2010,"Ten","FS",86,NA,NA,77.1700705709356,NA,92.25,NA,NA,92.25,131
"Tanard Jackson",2010,"Tam","FS",88,NA,NA,87.7054220148507,NA,92.25,NA,NA,92.25,10
"Chris Hope",2009,"Ten","SS",92,NA,NA,82.7006628629397,NA,92.25,NA,NA,92.25,98.75
"Tyrann Mathieu",2017,"Ari","FS",87,NA,"DB",71.9339334260868,92.9,90.25,97.8166666666666,NA,92.2375,95.5
"Devondre Campbell",2018,"Atl","WLB",81,NA,"LB",75.3269952913002,93.7825,87.5,NA,NA,92.211875,NA
"Brian Hoyer",2014,"Cle","QB",79,NA,"QB",103.336494375708,NA,56.1,102.542916666667,70.7,92.1931370141247,171.94
"Zach Orr",2016,"Bal","ILB",65,NA,NA,62.0601498055606,96,80.75,NA,NA,92.1875,139.25
"Mark Clayton",2009,"Bal","LWR",77,NA,"WR",93.0620388526814,NA,88.4,90.4,NA,92.1746925684543,77.8
"Tredavious White",2018,"Buf","LCB",88,NA,"DB",86.6868268226939,91.925,92.75,NA,NA,92.13125,NA
"Michael Williams",2014,"Buf","RWR",83,NA,NA,88.3657219342739,NA,102,99.4,99.4,92.0438146228493,24.2
"Gnb",2017,"Gnb","DST",69,NA,"DST",129.937803475872,NA,108,NA,92,92,91
"Was",2017,"Was","DST",69,NA,"DST",122.839219183219,NA,104,NA,92,92,111
"Oak",2016,"Oak","DST",69,NA,"DST",126.542441796394,NA,117,NA,92,92,92
"Sdg",2016,"Sdg","DST",69,NA,"DST",123.171655536448,NA,84,NA,92,92,120
"Aaron Williams",2014,"Buf","SS",79,NA,"DB",75.8009158049828,NA,92,NA,NA,92,72.75
"Sdg",2014,"Sdg","DST",69,NA,"DST",130.625252395322,NA,93,NA,92,92,98
"Ten",2014,"Ten","DST",69,NA,"DST",125.906074079955,NA,104,NA,92,92,79
"Tamba Hali",2013,"Kan","ROLB",89,NA,NA,73.8364603092835,NA,92,NA,NA,92,100.25
"Terrell Suggs",2011,"Bal","ROLB",94,NA,NA,86.7227175732943,NA,92,NA,NA,92,136.5
"Calvin Pace",2009,"Nyj",NA,83.4977204724865,"Res1",NA,NA,NA,92,NA,NA,92,86.5
"Eric Barton",2009,"Cle","RILB",79,NA,NA,79.3414997855133,NA,92,NA,NA,92,51
"Antrel Rolle",2008,"Ari","FS",89,NA,NA,NA,NA,92,NA,NA,92,98.15
"Ed Reed",2008,"Bal","FS",98,NA,NA,NA,NA,92,NA,NA,92,100.75
"Eric Berry",2015,"Kan","FS",84,NA,"DB",57.150167341955,93.275,88,71.2,NA,91.95625,70.5
