"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Drew Brees",2018,"QB","Nor",263.805832585323,236.137497755968,277.64,277.64,NA
"Philip Rivers",2012,"QB","Sdg",263.360262977916,260.266025955831,266.4545,NA,237.24
"Adrian Peterson",2010,"RB","Min",263.350212718764,226.000425437528,300.7,NA,257.9
"Philip Rivers",2015,"QB","Sdg",263.176999777698,263.632878120974,265.118121212121,260.78,297.48
"Nick Foles",2014,"QB","Phi",262.572227092647,191.13025966622,294.666421611722,301.92,133.32
"Andy Dalton",2016,"QB","Cin",262.415783897194,265.507573913805,260.419777777778,261.32,270.64
"Robert Griffin",2014,"QB","Was",262.374353833705,202.545737325291,287.177324175824,297.4,97.36
"Kirk Cousins",2018,"QB","Min",262.030277359542,236.930832078625,274.58,274.58,NA
"Calvin Johnson",2014,"WR","Det",261.725262380863,249.034215293418,274.416309468309,276.4,191.2
"Ray Rice",2010,"RB","Bal",261.494164661794,239.788329323588,283.2,NA,245.1
"Tom Brady",2011,"QB","Nwe",261.376525937984,233.333051875969,289.42,NA,382.3
"Matthew Stafford",2015,"QB","Det",261.157311098085,231.741151476074,274.830781818182,276.9,307.28
"Andy Dalton",2014,"QB","Cin",260.638363598537,264.368516436637,255.126574358974,262.42,242.12
"Cam Newton",2015,"QB","Car",260.128849544516,225.313694088095,282.612854545454,272.46,401.08
"Robert Griffin",2013,"QB","Was",259.566439335705,233.046612004744,286.086266666667,NA,227.02
"Peyton Manning",2008,"QB","Ind",259.44,NA,259.44,NA,264.18
"Alexander Smith",2018,"QB","Was",259.322771916751,207.808315750252,285.08,285.08,NA
"Kirk Cousins",2017,"QB","Was",259.246266526479,227.385688468326,267.913111111111,282.44,298.62
"Chris Johnson",2011,"RB","Ten",259.1,NA,259.1,NA,197
"Tom Brady",2010,"QB","Nwe",258.866577709452,242.013155418903,275.72,NA,305
"Antonio Brown",2015,"WR","Pit",258.648367480193,225.26438358141,292.032351378976,262,318.2
"Carson Palmer",2016,"QB","Ari",258.614021987463,225.502799295724,269.459266666667,280.88,261.12
"Andre Johnson",2008,"WR","Hou",258.5,NA,258.5,NA,261
"Benjamin Roethlisberger",2017,"QB","Pit",258.333306630459,251.476031002488,258.743888888889,264.78,272.74
"Ryan Tannehill",2016,"QB","Mia",257.823198760704,252.627262948778,253.442333333333,267.4,204.2
"Andrew Luck",2013,"QB","Ind",257.591345715017,222.394691430034,292.788,NA,297.58
"Julio Jones",2016,"WR","Atl",257.551548832525,238.228720680922,276.874376984127,273.8,218.4
"Eli Manning",2015,"QB","Nyg",257.525162025862,240.240110320009,265.275375757576,267.06,307.54
"Benjamin Roethlisberger",2018,"QB","Pit",257.163717946665,237.091153839994,267.2,267.2,NA
"Matthew Stafford",2013,"QB","Det",257.018653721776,228.165040776884,285.872266666667,NA,297.9
"Dak Prescott",2018,"QB","Dal",256.576037554942,251.768112664825,258.98,258.98,NA
"Maurice Jones Drew",2009,"RB","Jax",256.571919530848,223.043839061696,290.1,NA,297
"Benjamin Roethlisberger",2014,"QB","Pit",255.807768868053,238.479127116979,264.884179487179,264.06,315.78
"Michael Vick",2011,"QB","Phi",254.938762606753,175.297525213507,334.58,NA,251.02
"Jameis Winston",2016,"QB","Tam",254.935301006839,229.446569687185,264.899333333333,270.46,278.1
"Joshua Freeman",2013,"QB","Min/tam",253.95063762622,253.95063762622,NA,NA,36.44
"Marion Barber",2008,"RB","Dal",253.8,NA,253.8,NA,204.2
"Philip Rivers",2018,"QB","Sdg",253.612167180502,254.916501541505,252.96,252.96,NA
"Ray Rice",2011,"RB","Bal",253.349050923778,221.998101847556,284.7,NA,334.84
"Reggie Wayne",2008,"WR","Ind",253,NA,253,NA,191.5
"Matthew Forte",2014,"RB","Chi",252.808660754928,200.34538902469,277.680593240093,280.4,291.6
"Leveon Bell",2015,"RB","Pit",252.695481930759,236.64380942864,271.542636363636,249.9,99.2
"Robert Griffin",2012,"QB","Was",252.631603982356,247.300207964712,257.963,NA,322.5
"Blake Bortles",2018,"QB","Jax",252.345118136824,253.075354410471,251.98,251.98,NA
"Odell Beckham",2016,"WR","Nyg",252.215748525197,235.716703399601,268.714793650794,268.3,246.1
"Maurice Jones Drew",2010,"RB","Jax",251.226792947512,207.253585895024,295.2,NA,218.1
"Larry Fitzgerald",2008,"WR","Ari",251,NA,251,NA,263.1
"Odell Beckham",2015,"WR","Nyg",250.959752052228,249.197721951813,252.721782152643,242.3,271.3
"Peyton Manning",2009,"QB","Ind",250.366206455036,237.532412910072,263.2,NA,294.7
"Eli Manning",2013,"QB","Nyg",250.149190523353,248.749447713374,251.548933333333,NA,199.32
"Tony Romo",2008,"QB","Dal",249.5,NA,249.5,NA,226.02
"Matthew Ryan",2018,"QB","Atl",249.211276374354,234.193829123061,256.72,256.72,NA
"Jared Goff",2018,"QB","Lar",248.939801831219,239.779405493658,253.52,253.52,NA
"Colin Kaepernick",2014,"QB","Sfo",248.904182555576,160.470424956106,288.682122710623,297.56,266.66
"Joseph Addai",2008,"RB","Ind",248.3,NA,248.3,NA,127.5
"Clinton Portis",2008,"RB","Was",247.5,NA,247.5,NA,232.5
"Eli Manning",2011,"QB","Nyg",247.088558101839,256.357116203677,237.82,NA,304.82
"Marcus Mariota",2016,"QB","Ten",246.469596858175,230.902568352302,249.806222222222,258.7,272.94
"Andy Dalton",2017,"QB","Cin",246.403099451123,205.500853908926,256.688444444444,277.02,228.7
"Demaryius Thomas",2015,"WR","Den",246.347149055262,232.944949625676,259.749348484849,263.4,214.9
"Kirk Cousins",2016,"QB","Was",246.341726574096,209.798290833399,264.606888888889,264.62,316.28
"Andy Dalton",2013,"QB","Cin",246.314972113696,252.263410894059,240.366533333333,NA,314.02
"Ezekiel Elliott",2018,"RB","Dal",245.733045446658,215.799136339975,260.7,260.7,NA
"Adrian Peterson",2013,"RB","Min",245.58245579132,193.781578249307,297.383333333333,NA,218.2
"Alvin Kamara",2018,"RB","Nor",245.483230124934,193.649690374803,271.4,271.4,NA
"Lesean Mccoy",2012,"RB","Phi",245.315825674452,205.456651348903,285.175,NA,172.3
"Eli Manning",2017,"QB","Nyg",244.888465212954,244.128609924575,234.036785714286,256.5,210.32
"Jay Cutler",2014,"QB","Chi",244.8659578896,188.200930079057,269.656943589744,276.74,277.58
"Tony Romo",2013,"QB","Dal",244.370685917707,210.784838502081,277.956533333333,NA,270.92
"Antonio Brown",2018,"WR","Pit",244.174440100269,227.948880200538,260.4,260.4,NA
"Drew Brees",2008,"QB","Nor",243.9,NA,243.9,NA,321.66
"Arian Foster",2013,"RB","Hou",242.894938975284,210.813877950568,274.976,NA,95.5
"Matthew Ryan",2016,"QB","Atl",242.561741858005,223.529003351793,246.796222222222,257.36,354.46
"Matthew Forte",2009,"RB","Chi",242.479169215094,211.558338430188,273.4,NA,186.5
"Doug Martin",2013,"RB","Tam",242.45480425658,212.798941846493,272.110666666667,NA,64.2
"Philip Rivers",2010,"QB","Sdg",242.207325344527,258.314650689053,226.1,NA,298.6
"Julio Jones",2017,"WR","Atl",241.763357799277,232.564195757284,250.96251984127,247.4,207.9
"Ladainian Tomlinson",2009,"RB","Sdg",241.730181251332,209.360362502664,274.1,NA,166.4
"Calvin Johnson",2012,"WR","Det",241.642912768656,217.752492203979,265.533333333334,NA,281.4
"Colin Kaepernick",2015,"QB","Sfo",241.265913351817,193.314485509997,261.623254545455,268.86,113.2
"Jay Cutler",2010,"QB","Chi",240.745822602593,238.631645205187,242.86,NA,234.16
"Antonio Brown",2017,"WR","Pit",240.715715217772,214.624266466161,266.807163969384,260.7,257.8
"Adrian Peterson",2014,"RB","Min",240.490957512856,187.620854778551,265.552017760018,268.3,10.3
"Andre Johnson",2010,"WR","Hou",240.132671867817,217.765343735634,262.5,NA,213.6
"Jay Cutler",2015,"QB","Chi",240.056615720885,223.384787162654,247.22506,249.56,245.46
"Ryan Fitzpatrick",2016,"QB","Nyj",239.892817033801,199.216673323624,257.921777777778,262.54,152.4
"Philip Rivers",2009,"QB","Sdg",239.673678941159,234.167357882319,245.18,NA,284.16
"Andy Dalton",2015,"QB","Cin",239.549736083833,249.606901584831,230.602306666667,238.44,255.2
"Jameis Winston",2015,"QB","Tam",239.514392329284,265.121676987851,226.3415,227.08,289.98
"Derek Carr",2018,"QB","Oak",239.214954734562,262.204864203686,227.72,227.72,NA
"Marshawn Lynch",2008,"RB","Buf",239.1,NA,239.1,NA,209.1
"Marcus Mariota",2015,"QB","Ten",239.047925510667,262.341643198666,241.082133333333,213.72,226.52
"Adrian Peterson",2011,"RB","Min",238.354483460253,200.008966920506,276.7,NA,197.9
"Joseph Flacco",2015,"QB","Bal",238.207569355205,212.276121398949,251.766586666667,250.58,175.94
"Terrell Owens",2008,"WR","Dal",238,NA,238,NA,201
"Jay Cutler",2011,"QB","Chi",237.8990714358,245.618142871599,230.18,NA,147.26
"David Johnson",2018,"RB","Ari",237.715750047805,166.547250143414,273.3,273.3,NA
"Benjamin Roethlisberger",2012,"QB","Pit",237.522040447043,213.379080894086,261.665,NA,233.8
"Drew Brees",2009,"QB","Nor",237.067595262693,202.035190525385,272.1,NA,315.92
"Philip Rivers",2013,"QB","Sdg",236.813595009424,253.150923352182,220.476266666667,NA,301.32
"Darren Mcfadden",2011,"RB","Oak",236.803039580778,208.306079161556,265.3,NA,114.3
"Eddie Lacy",2015,"RB","Gnb",236.284098442277,194.177340781377,260.074954545454,254.6,130.6
"Marcus Mariota",2018,"QB","Ten",236.186107365714,203.798322097143,252.38,252.38,NA
"Tony Romo",2009,"QB","Dal",236.166284701278,238.132569402555,234.2,NA,288.82
"Tom Brady",2009,"QB","Nwe",235.550529626049,190.141059252099,280.96,NA,285.32
"Ryan Tannehill",2014,"QB","Mia",235.373382930498,212.771241099186,245.228907692307,248.12,293
"Julio Jones",2015,"WR","Atl",234.686668650305,215.208955152024,254.164382148587,247.9,301.1
"Benjamin Roethlisberger",2013,"QB","Pit",234.58885269038,236.110638714093,233.067066666667,NA,282.34
"Maurice Jones Drew",2008,"RB","Jax",234.4,NA,234.4,NA,249.9
"Joseph Flacco",2011,"QB","Bal",234.341055867137,230.202111734273,238.48,NA,226.9
"Matthew Schaub",2010,"QB","Hou",234.19640262515,220.192805250299,248.2,NA,261.6
"Matthew Schaub",2011,"QB","Hou",234.168606878811,222.217213757622,246.12,NA,166.06
"Jamaal Charles",2011,"RB","Kan",233.606583777591,204.013167555182,263.2,NA,15.7
"Joshua Freeman",2011,"QB","Tam",233.183958077014,219.007916154028,247.36,NA,229.48
"Brandon Marshall",2008,"WR","Den",233,NA,233,NA,208.1
"Alexander Smith",2014,"QB","Kan",232.870226919887,207.248029477609,248.182651282051,243.18,228
"Demaryius Thomas",2014,"WR","Den",232.716389648171,203.433751435314,261.999027861028,268.7,283.4
"Lesean Mccoy",2011,"RB","Phi",232.514828590485,221.329657180969,243.7,NA,304.4
"Victor Cruz",2012,"WR","Nyg",232.396383717596,252.110267435193,212.6825,NA,212.2
"Carson Palmer",2017,"QB","Ari",232.35414725353,202.633191760591,244.38925,250.04,109.32
"Jamaal Charles",2015,"RB","Kan",232.350081956414,185.156321626816,260.693924242425,251.2,90.6
"Tony Romo",2012,"QB","Dal",232.196837090036,189.959174180071,274.4345,NA,300.42
"Tyrod Taylor",2017,"QB","Buf",232.126673229859,182.427769689578,257.53225,256.42,230.66
"Joseph Flacco",2016,"QB","Bal",231.430324858839,206.078752354294,240.652222222222,247.56,253.48
"Jay Cutler",2008,"QB","Den",230.58,NA,230.58,NA,291.04
"Matthew Cassel",2011,"QB","Kan",230.430651184751,234.261302369503,226.6,NA,109.52
"Ray Rice",2013,"RB","Bal",230.400867241516,203.457067816366,257.344666666667,NA,147.1
"Lesean Mccoy",2013,"RB","Phi",230.233303311922,216.022606623843,244.444,NA,304.6
"Ryan Grant",2008,"RB","Gnb",230.1,NA,230.1,NA,164.9
"Carson Wentz",2017,"QB","Phi",229.948104956519,188.484064869556,237.50025,263.86,282.74
"Marshawn Lynch",2015,"RB","Sea",229.940325461871,197.009885476522,246.911090909091,245.9,74.2
"Teddy Bridgewater",2015,"QB","Min",229.872902892398,196.86689534386,249.431813333333,243.32,211.44
"Joseph Flacco",2012,"QB","Bal",229.833851511159,230.032203022319,229.6355,NA,248.88
"Andre Johnson",2011,"WR","Hou",229.75604985573,215.71209971146,243.8,NA,78.5
"Maurice Jones Drew",2011,"RB","Jax",229.648013513847,195.396027027694,263.9,NA,283.5
"Matthew Ryan",2011,"QB","Atl",229.623872587373,230.447745174745,228.8,NA,291.48
"Kareem Hunt",2018,"RB","Kan",229.604211270648,204.812633811944,242,242,NA
"Alexander Smith",2016,"QB","Kan",229.582282408834,177.266847226503,252.98,258.5,234.28
"Eli Manning",2018,"QB","Nyg",229.511404002474,224.894212007423,231.82,231.82,NA
"Carson Palmer",2014,"QB","Ari",229.290701668031,199.383889619478,239.208215384616,249.28,108.54
"Tom Brady",2016,"QB","Nwe",228.901568112133,209.420037669732,235.544666666667,241.74,258.56
"Matthew Forte",2015,"RB","Chi",228.831906865559,203.025311505767,246.170409090909,237.3,190.7
"David Garrard",2008,"QB","Jax",228.7,NA,228.7,NA,235.9
"Deandre Hopkins",2016,"WR","Hou",227.493613897892,211.421719859276,243.565507936508,228.7,158.4
"Andre Johnson",2009,"WR","Hou",227.171882519725,204.84376503945,249.5,NA,262.4
"Tony Romo",2010,"QB","Dal",227.170665387518,190.881330775037,263.46,NA,105
"Joseph Flacco",2013,"QB","Bal",226.9227843283,231.416901989934,222.428666666667,NA,229.58
"Tyrod Taylor",2016,"QB","Buf",226.867619215687,149.942790980394,266.100066666667,264.56,274.92
"Jamaal Charles",2013,"RB","Kan",226.709236052286,187.511805437905,265.906666666667,NA,343
"Alexander Smith",2015,"QB","Kan",226.403491822721,196.130388801496,237.520086666667,245.56,274.24
"Dez Bryant",2015,"WR","Dal",226.380058243768,200.224877851172,252.535238636364,258.2,73.6
"Todd Gurley",2016,"RB","Lar",226.136460647675,181.6815565462,253.427825396826,243.3,176.7
"Larry Fitzgerald",2009,"WR","Ari",225.902201678773,197.504403357546,254.3,NA,235.7
"Steven Jackson",2009,"RB","Lar",225.893609400923,200.787218801845,251,NA,219.3
"Odell Beckham",2017,"WR","Nyg",225.878267046158,214.778915044698,236.977619047619,239.7,61.5
"Derek Anderson",2008,"QB","Cle",225.8,NA,225.8,NA,96.1
"Julio Jones",2014,"WR","Atl",225.703808779477,208.451465610903,242.956151948052,244.8,245.4
"Carson Palmer",2015,"QB","Ari",225.595778851533,197.772509887932,241.894826666667,237.12,324.24
"Joseph Flacco",2014,"QB","Bal",225.515465626534,213.302391751396,226.364005128205,236.88,274.44
"Calvin Johnson",2015,"WR","Det",225.172927178725,205.539172539268,244.806681818182,232.8,217.4
"Andrew Luck",2012,"QB","Ind",225.155224364743,237.280948729486,213.0295,NA,304.46
"Benjamin Roethlisberger",2008,"QB","Pit",224.84,NA,224.84,NA,202.94
"Sam Bradford",2015,"QB","Phi",224.707865915713,175.692224413806,244.131373333333,254.3,210.9
"Julio Jones",2018,"WR","Atl",224.487852273927,210.775704547854,238.2,238.2,NA
"Eddie Lacy",2014,"RB","Gnb",224.268833497702,182.579607164213,247.226893328893,243,251.6
"Dez Bryant",2013,"WR","Dal",224.032567814361,198.371968962055,249.693166666667,NA,245.9
"Aj Green",2013,"WR","Cin",223.620060351943,199.388954037219,247.851166666667,NA,257.6
"Benjamin Roethlisberger",2011,"QB","Pit",223.1703451809,215.660690361801,230.68,NA,240.08
"Aj Green",2014,"WR","Cin",223.09579048846,203.770095850936,242.421485125985,241.6,170.8
"Tyrod Taylor",2018,"QB","Cle",223.047918695876,190.903756087627,239.12,239.12,NA
"Jay Cutler",2016,"QB","Chi",223.027859123431,192.279132925848,231.924444444445,244.88,55.76
"Andy Dalton",2018,"QB","Cin",222.956573598422,227.029720795265,220.92,220.92,NA
"Eli Manning",2010,"QB","Nyg",222.726368820782,214.652737641564,230.8,NA,262.08
"Matthew Schaub",2012,"QB","Hou",222.593200589893,213.523901179786,231.6625,NA,235.32
"Michael Vick",2012,"QB","Phi",222.453331023428,156.011162046856,288.8955,NA,165.68
"Donovan Mcnabb",2009,"QB","Phi",222.253720809132,199.467441618263,245.04,NA,244.72
"Andy Dalton",2012,"QB","Cin",222.035177877621,221.262855755242,222.8075,NA,274.76
"Saquon Barkley",2018,"RB","Nyg",221.924370459714,174.573111379141,245.6,245.6,NA
"Joseph Flacco",2010,"QB","Bal",221.919371894008,215.598743788016,228.24,NA,245.28
"Adrian Peterson",2015,"RB","Min",221.904347982598,161.321483341734,254.291560606061,250.1,245.7
"Ryan Tannehill",2018,"QB","Mia",221.76953046847,198.868591405409,233.22,233.22,NA
"Eli Manning",2014,"QB","Nyg",221.633662076527,219.516499050093,222.944487179487,222.44,291.5
"Joseph Flacco",2017,"QB","Bal",221.502774591291,202.075788059586,224.472535714286,237.96,196.04
"Joshua Freeman",2012,"QB","Tam",221.405497377074,199.778994754147,243.032,NA,265.5
"Antonio Brown",2014,"WR","Pit",221.286143397364,204.519463839905,238.052822954823,239,322.4
"Dez Bryant",2014,"WR","Dal",220.818690224922,190.234488208751,251.402892241093,253.8,272
"Chris Johnson",2012,"RB","Ten",220.660007782941,195.285015565882,246.035,NA,193.5
"Frank Gore",2009,"RB","Sfo",220.300932752047,187.701865504095,252.9,NA,252.6
"David Johnson",2016,"RB","Ari",220.201618584293,167.800062102087,252.804793650794,240,365.8
"Brandon Marshall",2013,"WR","Chi",220.183258708277,193.166517416554,247.2,NA,251.5
"Jim Garoppolo",2018,"QB","Sfo",219.957563034225,125.392689102674,267.24,267.24,NA
"Roddy White",2011,"WR","Atl",219.851635903202,193.703271806405,246,NA,227.6
"Hakeem Nicks",2011,"WR","Nyg",219.673538195365,202.14707639073,237.2,NA,199.2
"Braylon Edwards",2008,"WR","Cle",219.5,NA,219.5,NA,132.8
"Maurice Jones Drew",2012,"RB","Jax",219.175,NA,219.175,NA,69
"Derek Carr",2015,"QB","Oak",218.607884912515,229.476961404211,217.146693333333,209.2,286.28
"Tony Romo",2011,"QB","Dal",218.404748900539,173.809497801079,263,NA,291.96
"Donovan Mcnabb",2008,"QB","Phi",218.3,NA,218.3,NA,262.34
"Chris Johnson",2009,"RB","Ten",218.239100665354,202.878201330707,233.6,NA,365.9
"Brett Favre",2010,"QB","Min",218.000278737354,222.160557474708,213.84,NA,120.16
