"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Michael Wallace",2011,"WR","Pit",206.320845103772,201.941690207544,210.7,NA,209
"Sam Bradford",2011,"QB","Lar",206.298047801367,186.496095602735,226.1,NA,95.16
"Andre Johnson",2013,"WR","Hou",206.26864300028,185.455952667227,227.081333333333,NA,231.2
"Jordy Nelson",2014,"WR","Gnb",206.142943943219,186.193558160609,226.09232972583,228.3,279.9
"Leveon Bell",2014,"RB","Pit",206.133067939687,181.433357665215,222.165846153846,214.8,332
"Torry Holt",2008,"WR","Lar",205.9,NA,205.9,NA,129.6
"Alexander Smith",2012,"QB","Sfo",205.77808886629,184.12867773258,227.4275,NA,123.68
"Aj Green",2016,"WR","Cin",205.509915075256,190.576834118765,220.442996031746,228.1,153.4
"Kevin Smith",2008,"RB","Det",205.5,NA,205.5,NA,192.7
"Roddy White",2013,"WR","Atl",205.420168443371,191.321003553408,219.519333333333,NA,117.6
"Michael Evans",2016,"WR","Tam",205.240181007032,198.771473125175,211.708888888889,207,253.1
"Brandon Marshall",2010,"WR","Mia",205.140189505146,206.080379010293,204.2,NA,162.7
"Chad Johnson",2008,"WR","Cin",205,NA,205,NA,104.5
"Rashard Mendenhall",2010,"RB","Pit",204.968867227828,170.337734455656,239.6,NA,231.5
"Aaron Rodgers",2009,"QB","Gnb",204.897783155955,168.935566311911,240.86,NA,343.96
"Sam Bradford",2013,"QB","Lar",204.846262449218,189.667724898436,220.0248,NA,117.58
"Arian Foster",2014,"RB","Hou",204.818143806358,177.139764752408,219.614666666667,217.7,255.5
"Jay Cutler",2013,"QB","Chi",204.68509029697,190.393913927273,218.976266666667,NA,167.64
"Christian Mccaffrey",2018,"RB","Car",204.57121984524,182.514437313497,223.099222222222,208.1,NA
"Matthew Ryan",2010,"QB","Atl",204.544215607707,201.128431215414,207.96,NA,252.4
"Hakeem Nicks",2012,"WR","Nyg",204.337443513437,205.599887026874,203.075,NA,114.7
"Lamar Miller",2016,"RB","Hou",204.304037978741,149.315431396541,230.796682539683,232.8,176.6
"Melvin Gordon",2017,"RB","Sdg",204.250728178181,162.528910725019,220.723273809524,229.5,258.1
"Roddy White",2012,"WR","Atl",203.882637808723,185.022775617445,222.7425,NA,223.1
"Jamaal Charles",2016,"RB","Kan",203.844644345359,194.953139385283,206.780793650794,209.8,12.4
"Reggie Wayne",2010,"WR","Ind",203.781449753817,183.562899507634,224,NA,226
