"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Greg Camarillo",2010,"WR","Min",54.2614744784281,75.5229489568562,33,NA,50
"Phillip Gaines",2016,"DB","Kan",54.2375,30.0082166047748,54.2375,NA,56.25
"Markus Golden",2018,"OLB","Ari/pit",54.2313240682696,54.2313240682696,NA,NA,NA
"Reed Doughty",2012,"SS","Was",54.2244330218707,54.2244330218707,NA,NA,61.75
"Greg Camarillo",2011,"WR","Min",54.2243156763146,50.4486313526292,58,NA,21.1
"Kyle Williams",2017,"DL","Buf",54.2186034825619,46.3955402984572,62.0416666666666,NA,48.6
"Dwan Edwards",2011,"DE","Buf",54.2077484112098,54.2077484112098,NA,NA,48.75
"Sheldon Rankins",2017,"DL","Nor",54.1531158465568,52.6645650264469,55.6416666666667,NA,36.25
"Leodis Mckelvin",2013,"LCB","Buf",54.1261226946481,54.1261226946481,NA,NA,83.25
"Logan Ryan",2014,"DB","Nwe",54.1080962898506,54.1080962898506,NA,NA,50
"Chris Brown",2009,"RB","Hou",54.1,NA,54.1,NA,65.1
"Albert Mcclellan",2012,"LB","Bal",54.0918063484619,54.0918063484619,NA,NA,61
"Jonathan Carlson",2012,"TE","Min",54.0908317739571,70.2333302145809,37.9483333333333,NA,12.3
"Paul Kruger",2012,"LB","Bal",54.0876553248884,54.0876553248884,NA,NA,73.25
"James Harrison",2017,"","Nwe/pit",54.0683708011564,54.0683708011564,NA,NA,17.5
"Linval Joseph",2014,"DL","Min",54.0618314630346,54.0618314630346,NA,NA,49.5
"Aaron Lynch",2016,"LB","Sfo",54.0608472703262,66.3841945406524,41.7375,NA,19.25
"Marcus Williams",2016,"DB","Nyj",54.0565971320912,51.4006942641825,56.7125,NA,47
"Jalen Mills",2017,"DB","Phi",54.0522184423517,67.69610355137,40.4083333333334,NA,82.75
"Jeff Heath",2014,"","Dal",54.0365790800646,54.0365790800646,NA,NA,16.5
"Antwan Odom",2010,"DE","Cin",54.026659094837,54.026659094837,NA,NA,4
"Kendall Reyes",2014,"DL","Sdg",54.0255963221857,54.0255963221857,NA,NA,28
